GeneratedAt,GitCommit,Seed,ScenarioId,Direction,SymbolModel,InputSet,Result,Law1Status,Law2Status,Law3Status,RejectReason,Name,Parameters,ExpectedRejectReason,ActualRejectReason,PreviousGatesPassed
2026-07-21T20:25:39.704211+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,1,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,RESERVE_CATCHUP,targeted independent gate,RESERVE_CATCHUP,RESERVE_CATCHUP,True
2026-07-21T20:25:39.704219+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,2,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,NET_BIG_EXPOSURE,targeted independent gate,NET_BIG_EXPOSURE,NET_BIG_EXPOSURE,True
2026-07-21T20:25:39.704223+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,3,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,RECOVERY_NON_MONOTONIC,targeted independent gate,RECOVERY_NON_MONOTONIC,RECOVERY_NON_MONOTONIC,True
2026-07-21T20:25:39.704227+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,4,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,FAR_COMPRESSION,targeted independent gate,FAR_COMPRESSION,FAR_COMPRESSION,True
2026-07-21T20:25:39.704230+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,5,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,NEW_FAR_RISK,targeted independent gate,NEW_FAR_RISK,NEW_FAR_RISK,True
2026-07-21T20:25:39.704233+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,6,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,NEW_BIG_GROSS,targeted independent gate,NEW_BIG_GROSS,NEW_BIG_GROSS,True
2026-07-21T20:25:39.704259+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,7,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,NEW_BIG_DIRECTIONAL,targeted independent gate,NEW_BIG_DIRECTIONAL,NEW_BIG_DIRECTIONAL,True
2026-07-21T20:25:39.704263+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,8,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,NEXT_CYCLE_RISK,targeted independent gate,NEXT_CYCLE_RISK,NEXT_CYCLE_RISK,True
2026-07-21T20:25:39.704267+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,9,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,TRANSITION_LOSS,targeted independent gate,TRANSITION_LOSS,TRANSITION_LOSS,True
2026-07-21T20:25:39.704282+00:00,0c7fb05b2962cefe8ce939897c9a151f5ce1f8c5,20260721,10,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,RESERVE_FLOOR,targeted independent gate,RESERVE_FLOOR,RESERVE_FLOOR,True
